Sample	mapped_reads	mapped_reads_pct	forward_strand_pct	read_2	read_1	duplicates	both_mapped	reverse_strand_pct	duplicates_pct	reverse_strand	forward_strand	failed_qc_pct	both_mapped_pct	failed_qc	singletons	total_reads	singletons_pct	paired_end	paired_end_pct
SampID_6312	77215861.0	99.6833	50.045	38771031.0	38690180.0	0.0	77119552.0	49.955	0.0	38695785.0	38765426.0	0.0	99.5589	0.0	96309.0	77461211.0	0.124332	77461211.0	100.0
SampID_6316	76779066.0	99.6436	50.0219	38582476.0	38471234.0	0.0	76641390.0	49.9781	0.0	38509994.0	38543716.0	0.0	99.4649	0.0	137676.0	77053710.0	0.178675	77053710.0	100.0
SampID_6317	92903661.0	99.6005	50.0223	46718145.0	46558112.0	0.0	92721239.0	49.9778	0.0	46617376.0	46658881.0	0.0	99.405	0.0	182422.0	93276257.0	0.195572	93276257.0	100.0
SampID_6536	115923448.0	99.4243	50.0223	58477069.0	58117618.0	0.0	115620147.0	49.9777	0.0	58271360.0	58323327.0	0.0	99.1642	0.0	303301.0	116594687.0	0.260133	116594687.0	100.0
SampID_6537	115294555.0	99.5311	50.0205	58064717.0	57773033.0	0.0	115049817.0	49.9795	0.0	57895187.0	57942563.0	0.0	99.3198	0.0	244738.0	115837750.0	0.211277	115837750.0	100.0
SampID_6538	126048791.0	99.5448	50.0212	63470614.0	63154585.0	0.0	125797289.0	49.9788	0.0	63285809.0	63339390.0	0.0	99.3462	0.0	251502.0	126625199.0	0.198619	126625199.0	100.0
SampID_6739	115496053.0	98.4798	50.171	58890173.0	58388776.0	0.0	114510223.0	49.829	0.0	58438943.0	58840006.0	0.0	97.6392	0.0	985830.0	117278949.0	0.840586	117278949.0	100.0
SampID_6742	107431405.0	98.8074	50.0568	54691732.0	54036381.0	0.0	106781288.0	49.9432	0.0	54302312.0	54425801.0	0.0	98.2095	0.0	650117.0	108728113.0	0.597929	108728113.0	100.0
SampID_6745	156929475.0	99.2368	50.0463	79407122.0	78729225.0	0.0	156448239.0	49.9537	0.0	78994967.0	79141380.0	0.0	98.9325	0.0	481236.0	158136347.0	0.304317	158136347.0	100.0
SampID_7170	129896972.0	99.3734	50.0411	65554258.0	65161820.0	0.0	129592985.0	49.9589	0.0	65304265.0	65411813.0	0.0	99.1408	0.0	303987.0	130716078.0	0.232555	130716078.0	100.0
SampID_7171	130045314.0	99.4617	50.0183	65559563.0	65189633.0	0.0	129739502.0	49.9817	0.0	65350714.0	65398482.0	0.0	99.2278	0.0	305812.0	130749196.0	0.233892	130749196.0	100.0
SampID_7173	137831501.0	99.2737	50.0428	69602431.0	69237540.0	0.0	137396580.0	49.9572	0.0	69360510.0	69479461.0	0.0	98.9604	0.0	434921.0	138839971.0	0.313253	138839971.0	100.0
SampID_7174	129765170.0	99.4586	50.0417	65362630.0	65108849.0	0.0	129435357.0	49.9583	0.0	65181278.0	65290201.0	0.0	99.2059	0.0	329813.0	130471479.0	0.252786	130471479.0	100.0
SampID_7176	125501037.0	99.3638	50.0327	63359831.0	62944802.0	0.0	125180435.0	49.9673	0.0	63111012.0	63193621.0	0.0	99.1099	0.0	320602.0	126304633.0	0.253832	126304633.0	100.0
SampID_7177	127409167.0	99.4515	50.0309	64238661.0	63873252.0	0.0	127114070.0	49.9691	0.0	64016386.0	64095527.0	0.0	99.2211	0.0	295097.0	128111913.0	0.230343	128111913.0	100.0
SampID_7179	137854745.0	99.2341	50.073	69721255.0	69197498.0	0.0	137478329.0	49.927	0.0	69357999.0	69560754.0	0.0	98.9631	0.0	376416.0	138918753.0	0.270961	138918753.0	100.0
SampID_7180	122860883.0	99.4383	50.0522	61937140.0	61617712.0	0.0	122613718.0	49.9478	0.0	61712924.0	61841928.0	0.0	99.2383	0.0	247165.0	123554852.0	0.200045	123554852.0	100.0
SampID_7182	61212916.0	99.0408	50.1695	31151468.0	30654278.0	0.0	60962221.0	49.8305	0.0	30798120.0	31007626.0	0.0	98.6352	0.0	250695.0	61805746.0	0.405618	61805746.0	100.0
SampID_7184	179123207.0	99.489	50.0444	90283587.0	89759719.0	0.0	178852183.0	49.9556	0.0	89941649.0	90101657.0	0.0	99.3384	0.0	271024.0	180043306.0	0.150533	180043306.0	100.0
SampID_7185	141417803.0	99.3212	50.0584	71448971.0	70935326.0	0.0	141083530.0	49.9416	0.0	71109031.0	71275266.0	0.0	99.0864	0.0	334273.0	142384297.0	0.234768	142384297.0	100.0
SampID_7186	118342333.0	99.5526	50.0438	59563449.0	59310740.0	0.0	118147758.0	49.9562	0.0	59385074.0	59489115.0	0.0	99.3889	0.0	194575.0	118874189.0	0.163681	118874189.0	100.0
SampID_7187	121702764.0	99.4186	50.0689	61370268.0	61044178.0	0.0	121458138.0	49.9311	0.0	61122834.0	61291612.0	0.0	99.2188	0.0	244626.0	122414446.0	0.199834	122414446.0	100.0
SampID_7188	138222408.0	99.4904	50.0544	69633737.0	69296665.0	0.0	137990254.0	49.9456	0.0	69389629.0	69540773.0	0.0	99.3233	0.0	232154.0	138930402.0	0.167101	138930402.0	100.0
SampID_7191	147719856.0	99.2802	50.1171	74602307.0	74188585.0	0.0	147450525.0	49.8829	0.0	74221280.0	74569612.0	0.0	99.0992	0.0	269331.0	148790892.0	0.181013	148790892.0	100.0
SampID_7193	115451217.0	99.4111	50.063	58211151.0	57923966.0	0.0	115211141.0	49.937	0.0	57994448.0	58140669.0	0.0	99.2044	0.0	240076.0	116135117.0	0.206721	116135117.0	100.0
SampID_7194	121540493.0	99.396	50.0578	61310047.0	60969025.0	0.0	121279520.0	49.9422	0.0	61068827.0	61210245.0	0.0	99.1826	0.0	260973.0	122279072.0	0.213424	122279072.0	100.0
SampID_7196	124571767.0	99.3678	50.043	62875021.0	62489336.0	0.0	124274427.0	49.957	0.0	62628229.0	62736128.0	0.0	99.1306	0.0	297340.0	125364357.0	0.237181	125364357.0	100.0
SampID_7197	139906328.0	99.318	50.0882	70643416.0	70223649.0	0.0	139623905.0	49.9118	0.0	70309273.0	70557792.0	0.0	99.1175	0.0	282423.0	140867065.0	0.200489	140867065.0	100.0
SampID_7198	121697377.0	99.4407	50.0504	61345116.0	61036762.0	0.0	121459610.0	49.9496	0.0	61129242.0	61252636.0	0.0	99.2464	0.0	237767.0	122381878.0	0.194283	122381878.0	100.0
SampID_7199	115945767.0	98.9781	50.1322	58856862.0	58286012.0	0.0	115520994.0	49.8678	0.0	58416538.0	58726336.0	0.0	98.6155	0.0	424773.0	117142874.0	0.362611	117142874.0	100.0
SampID_7201	115541326.0	99.2593	50.1507	58374051.0	58029453.0	0.0	115292961.0	49.8493	0.0	58026354.0	58377150.0	0.0	99.046	0.0	248365.0	116403504.0	0.213366	116403504.0	100.0
SampID_7202	122268455.0	99.2999	50.1117	61727690.0	61402783.0	0.0	122013090.0	49.8883	0.0	61427663.0	61702810.0	0.0	99.0925	0.0	255365.0	123130473.0	0.207394	123130473.0	100.0
