Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
CHH13734	21.8690985772	46.0	100.0	73643960.0	8.33333333333
CHH13735	21.7450857993	45.0	100.0	60153160.0	0.0
CHH13736	22.1559809704	45.0	100.0	63207731.0	0.0
CHH13737	24.1402658901	45.0	100.0	70497875.0	8.33333333333
CHH13738	23.841980192	45.0	100.0	72616091.0	8.33333333333
CHH13739	22.385871429	45.0	100.0	58715677.0	8.33333333333
CHH13740	22.0264891694	45.0	100.0	65528681.0	16.6666666667
CHH13741	21.749803149	45.0	100.0	58611250.0	0.0
CHH13742	24.2163200099	45.0	100.0	82772257.0	16.6666666667
CHH13743	22.3947516647	45.0	100.0	54917905.0	0.0
CHH13744	19.3092147915	45.0	100.0	51250737.0	16.6666666667
CHH13745	22.3855385785	45.0	100.0	76793345.0	8.33333333333
CHH13746	18.7789577798	45.0	100.0	51665696.0	16.6666666667
CHH13747	36.6677839572	47.0	150.0	134792321.0	16.6666666667
CHH13748	26.1218466034	46.0	150.0	105610427.0	8.33333333333
CHH13749	19.4586871185	45.0	100.0	68494913.0	16.6666666667
CHH13750	21.5867448359	46.0	100.0	60808449.0	0.0
CHH13751	20.2529477601	45.0	100.0	55188137.0	16.6666666667
CHH13752	20.8747538411	46.0	100.0	56323968.0	8.33333333333
CHH13753	19.3624335662	45.0	100.0	52328855.0	8.33333333333
CHH13754	21.2106896899	45.0	100.0	71584518.0	8.33333333333
CHH13755	20.6961963054	45.0	100.0	62717913.0	8.33333333333
CHH13756	18.9252614809	46.0	100.0	47914037.0	8.33333333333
CHH13757	26.3539459253	45.0	100.0	97531555.0	16.6666666667
CHH13758	16.1064176379	46.0	100.0	38762180.0	8.33333333333
CHH13759	24.1056565556	45.0	100.0	76518516.0	16.6666666667
CHH13760	20.9722987169	46.0	100.0	54947782.0	8.33333333333
CHH13761	21.5980771822	45.0	100.0	63512562.0	16.6666666667
CHH13762	20.2201882235	46.0	100.0	47111737.0	8.33333333333
CHH13763	21.5322589254	46.0	100.0	60265592.0	8.33333333333
CHH13764	24.0992844819	46.0	100.0	69184758.0	16.6666666667
CHH13765	16.8990838299	45.0	100.0	39915389.0	16.6666666667
CHH13766	16.9765834626	45.0	100.0	37603827.0	16.6666666667
CHH13767	15.4667508718	45.0	100.0	35869920.0	8.33333333333
CHH13768	11.974310256	44.0	100.0	57236348.0	16.6666666667
CHH13832	17.6286543847	45.0	100.0	38043983.0	0.0
CHH13833	16.1342640266	45.0	100.0	27255857.0	8.33333333333
CHH13834	15.1444408284	45.0	100.0	28887413.0	0.0
CHH13835	15.8226241048	45.0	100.0	31362793.0	0.0
CHH13836	16.4136531068	45.0	100.0	31808756.0	8.33333333333
CHH13837	15.9904391892	45.0	100.0	32443233.0	0.0
CHH13838	14.9795326108	45.0	100.0	27678510.0	0.0
CHH13839	15.0572343108	45.0	100.0	30907487.0	0.0
CHH13840	15.6700992372	45.0	100.0	31556501.0	0.0
CHH13841	14.5351293591	45.0	100.0	26819052.0	8.33333333333
CHH13842	16.0069098699	45.0	100.0	31681295.0	8.33333333333
CHH13843	17.1312075449	45.0	100.0	32367331.0	8.33333333333
CHH13844	13.3553444172	45.0	100.0	25323324.0	0.0
CHH13845	16.7266532738	45.0	100.0	33045401.0	8.33333333333
CHH13846	15.2091218343	45.0	100.0	29290734.0	8.33333333333
CHH13847	15.6953606757	45.0	100.0	29817638.0	8.33333333333
CHH13848	16.176531766	44.0	100.0	28090202.0	8.33333333333
CHH13849	16.7951242965	44.0	100.0	27251462.0	8.33333333333
